"Statistic Label","Quarter","Electricity Consumption","UNIT","VALUE"
"Gigawatt hours","2015Q1","All metered electricity consumption","GWh","6565"
"Gigawatt hours","2015Q1","Data centres","GWh","290"
"Gigawatt hours","2015Q1","Customers other than data centres","GWh","6275"
"Gigawatt hours","2015Q2","All metered electricity consumption","GWh","6086"
"Gigawatt hours","2015Q2","Data centres","GWh","302"
"Gigawatt hours","2015Q2","Customers other than data centres","GWh","5784"
"Gigawatt hours","2015Q3","All metered electricity consumption","GWh","5783"
"Gigawatt hours","2015Q3","Data centres","GWh","315"
"Gigawatt hours","2015Q3","Customers other than data centres","GWh","5468"
"Gigawatt hours","2015Q4","All metered electricity consumption","GWh","6165"
"Gigawatt hours","2015Q4","Data centres","GWh","328"
"Gigawatt hours","2015Q4","Customers other than data centres","GWh","5837"
"Gigawatt hours","2016Q1","All metered electricity consumption","GWh","6651"
"Gigawatt hours","2016Q1","Data centres","GWh","339"
"Gigawatt hours","2016Q1","Customers other than data centres","GWh","6312"
"Gigawatt hours","2016Q2","All metered electricity consumption","GWh","6471"
"Gigawatt hours","2016Q2","Data centres","GWh","359"
"Gigawatt hours","2016Q2","Customers other than data centres","GWh","6112"
"Gigawatt hours","2016Q3","All metered electricity consumption","GWh","5926"
"Gigawatt hours","2016Q3","Data centres","GWh","384"
"Gigawatt hours","2016Q3","Customers other than data centres","GWh","5542"
"Gigawatt hours","2016Q4","All metered electricity consumption","GWh","6307"
"Gigawatt hours","2016Q4","Data centres","GWh","394"
"Gigawatt hours","2016Q4","Customers other than data centres","GWh","5913"
"Gigawatt hours","2017Q1","All metered electricity consumption","GWh","6867"
"Gigawatt hours","2017Q1","Data centres","GWh","405"
"Gigawatt hours","2017Q1","Customers other than data centres","GWh","6462"
"Gigawatt hours","2017Q2","All metered electricity consumption","GWh","6429"
"Gigawatt hours","2017Q2","Data centres","GWh","432"
"Gigawatt hours","2017Q2","Customers other than data centres","GWh","5997"
"Gigawatt hours","2017Q3","All metered electricity consumption","GWh","5969"
"Gigawatt hours","2017Q3","Data centres","GWh","448"
"Gigawatt hours","2017Q3","Customers other than data centres","GWh","5521"
"Gigawatt hours","2017Q4","All metered electricity consumption","GWh","6461"
"Gigawatt hours","2017Q4","Data centres","GWh","470"
"Gigawatt hours","2017Q4","Customers other than data centres","GWh","5991"
"Gigawatt hours","2018Q1","All metered electricity consumption","GWh","7097"
"Gigawatt hours","2018Q1","Data centres","GWh","488"
"Gigawatt hours","2018Q1","Customers other than data centres","GWh","6609"
"Gigawatt hours","2018Q2","All metered electricity consumption","GWh","6845"
"Gigawatt hours","2018Q2","Data centres","GWh","524"
"Gigawatt hours","2018Q2","Customers other than data centres","GWh","6320"
"Gigawatt hours","2018Q3","All metered electricity consumption","GWh","6187"
"Gigawatt hours","2018Q3","Data centres","GWh","571"
"Gigawatt hours","2018Q3","Customers other than data centres","GWh","5616"
"Gigawatt hours","2018Q4","All metered electricity consumption","GWh","6601"
"Gigawatt hours","2018Q4","Data centres","GWh","589"
"Gigawatt hours","2018Q4","Customers other than data centres","GWh","6013"
"Gigawatt hours","2019Q1","All metered electricity consumption","GWh","7128"
"Gigawatt hours","2019Q1","Data centres","GWh","576"
"Gigawatt hours","2019Q1","Customers other than data centres","GWh","6552"
"Gigawatt hours","2019Q2","All metered electricity consumption","GWh","6349"
"Gigawatt hours","2019Q2","Data centres","GWh","598"
"Gigawatt hours","2019Q2","Customers other than data centres","GWh","5751"
"Gigawatt hours","2019Q3","All metered electricity consumption","GWh","6299"
"Gigawatt hours","2019Q3","Data centres","GWh","635"
"Gigawatt hours","2019Q3","Customers other than data centres","GWh","5664"
"Gigawatt hours","2019Q4","All metered electricity consumption","GWh","6728"
"Gigawatt hours","2019Q4","Data centres","GWh","669"
"Gigawatt hours","2019Q4","Customers other than data centres","GWh","6059"
"Gigawatt hours","2020Q1","All metered electricity consumption","GWh","7399"
"Gigawatt hours","2020Q1","Data centres","GWh","688"
"Gigawatt hours","2020Q1","Customers other than data centres","GWh","6711"
"Gigawatt hours","2020Q2","All metered electricity consumption","GWh","6429"
"Gigawatt hours","2020Q2","Data centres","GWh","719"
"Gigawatt hours","2020Q2","Customers other than data centres","GWh","5710"
"Gigawatt hours","2020Q3","All metered electricity consumption","GWh","6381"
"Gigawatt hours","2020Q3","Data centres","GWh","763"
"Gigawatt hours","2020Q3","Customers other than data centres","GWh","5618"
"Gigawatt hours","2020Q4","All metered electricity consumption","GWh","6847"
"Gigawatt hours","2020Q4","Data centres","GWh","849"
"Gigawatt hours","2020Q4","Customers other than data centres","GWh","5999"
"Gigawatt hours","2021Q1","All metered electricity consumption","GWh","7347"
"Gigawatt hours","2021Q1","Data centres","GWh","919"
"Gigawatt hours","2021Q1","Customers other than data centres","GWh","6428"
"Gigawatt hours","2021Q2","All metered electricity consumption","GWh","7222"
"Gigawatt hours","2021Q2","Data centres","GWh","984"
"Gigawatt hours","2021Q2","Customers other than data centres","GWh","6237"
"Gigawatt hours","2021Q3","All metered electricity consumption","GWh","6779"
"Gigawatt hours","2021Q3","Data centres","GWh","1032"
"Gigawatt hours","2021Q3","Customers other than data centres","GWh","5748"
"Gigawatt hours","2021Q4","All metered electricity consumption","GWh","7158"
"Gigawatt hours","2021Q4","Data centres","GWh","1058"
"Gigawatt hours","2021Q4","Customers other than data centres","GWh","6099"
